-0.37839987266891273, -2.1981324773854682
-0.35654826644030035, -2.044305912937369
-0.3393283285142054, -1.9337188635700455
-0.3187961906783034, -1.8038942090882566
-0.30025360108231425, -1.6788975250019897
-0.2856853330503754, -1.5779451945778178
-0.26515160357588136, -1.4529166777197124
-0.24793484892697032, -1.3327373531050217
-0.23071491100087538, -1.222150303737698
-0.2134949730747805, -1.1115632543703744
-0.19759927845717162, -1.0105897020983103
-0.17839297556834766, -0.8855824070880975
-0.16315781096638987, -0.7942117409873468
-0.14527097647027615, -0.6932063559434439
-0.12804944690558928, -0.5874154441998038
-0.10618988248401723, -0.4575695678701226
-0.08565615300952323, -0.33254105101201703
-0.06578136191208839, -0.2219115579489087
-0.04391543093614869, -0.11125023211396162
-0.022706846698676175, -0.019784067697695085
-0.001479162798100564, 0.014128445234368459
-0.3762463856540309, -2.687306682229355
-0.362341830914927, -2.5863649627291294
-0.34910258110724995, -2.480637716529167
-0.333872191421068, -2.3748786375573654
-0.32129028835185824, -2.2883465527760833
-0.31069793352256153, -2.2066424383903227
-0.29414011725070965, -2.100862137570629
-0.28288723240576175, -2.0095551370135554
-0.268979494389474, -1.9182056927606972
-0.2583871395601772, -1.836501578374937
-0.24448099318248134, -1.7403559964983955
-0.2292521951348913, -1.6298007799029104
-0.2107111971774942, -1.50000795819296
-0.1961445207841473, -1.3942594901451044
-0.1822383744064514, -1.2981139082685627
-0.16899275804440672, -1.211571212563334
-0.15707138499084805, -1.1346420139533653
-0.1431668302517441, -1.0337002944531397
-0.1259468923256492, -0.9231132450858159
-0.11204233758654536, -0.8221715255855906
-0.09482080802185844, -0.7163806138419506
-0.07892511340424957, -0.6154070615698864
-0.06368835716369992, -0.5288325330928193
-0.04713054089184798, -0.4230522322731255
-0.029902644772793474, -0.33644587102421963
-0.013994217046449209, -0.27384141974162424
-0.0013884393983605303, -0.2592513993155957
