twist angle,mean layer separation (angstroms),errorbar max (angstroms),errorbar min (angstroms)
1.0690376569037656, 3.4002831387325023, 3.4102313303686826, 3.3903360424105675
1.3106694560669456, 3.410272952310018, 3.4202205962890755,3.400325308
1.9288702928870294, 3.4200667046375606, 3.430537908826042, 3.410119060658503
2.2238493723849375, 3.4405370325746456, 3.4504841288965804, 3.4303270608337533
2.600418410041841, 3.440340971324673, 3.450812175513155, 3.4306551074503275
